Original gene set ID	Original gene set description
ENSG00000000419	DPM1 PPI subnetwork
ENSG00000000938	FGR PPI subnetwork
ENSG00000000971	CFH PPI subnetwork
ENSG00000001167	NFYA PPI subnetwork
ENSG00000001497	LAS1L PPI subnetwork
ENSG00000001626	CFTR PPI subnetwork
ENSG00000001630	CYP51A1 PPI subnetwork
ENSG00000002016	RAD52 PPI subnetwork
ENSG00000002330	BAD PPI subnetwork
ENSG00000002745	WNT16 PPI subnetwork
ENSG00000002822	MAD1L1 PPI subnetwork
ENSG00000002834	LASP1 PPI subnetwork
ENSG00000003096	KLHL13 PPI subnetwork
ENSG00000003393	ALS2 PPI subnetwork
ENSG00000003400	CASP10 PPI subnetwork
ENSG00000003402	CFLAR PPI subnetwork
ENSG00000003436	TFPI PPI subnetwork
ENSG00000003756	RBM5 PPI subnetwork
ENSG00000004059	ARF5 PPI subnetwork
ENSG00000004455	AK2 PPI subnetwork
ENSG00000004478	FKBP4 PPI subnetwork
ENSG00000004487	KDM1A PPI subnetwork
ENSG00000004660	CAMKK1 PPI subnetwork
ENSG00000004700	RECQL PPI subnetwork
ENSG00000004779	NDUFAB1 PPI subnetwork
ENSG00000004799	PDK4 PPI subnetwork
ENSG00000004864	SLC25A13 PPI subnetwork
ENSG00000004897	CDC27 PPI subnetwork
ENSG00000004939	SLC4A1 PPI subnetwork
ENSG00000004948	CALCR PPI subnetwork
ENSG00000004975	DVL2 PPI subnetwork
ENSG00000005007	UPF1 PPI subnetwork
ENSG00000005022	SLC25A5 PPI subnetwork
ENSG00000005075	POLR2J PPI subnetwork
ENSG00000005156	LIG3 PPI subnetwork
ENSG00000005175	RPAP3 PPI subnetwork
ENSG00000005189	ENSG00000005189 PPI subnetwork
ENSG00000005194	CIAPIN1 PPI subnetwork
ENSG00000005249	PRKAR2B PPI subnetwork
ENSG00000005339	CREBBP PPI subnetwork
ENSG00000005469	CROT PPI subnetwork
ENSG00000005513	SOX8 PPI subnetwork
ENSG00000005810	MYCBP2 PPI subnetwork
ENSG00000005844	ITGAL PPI subnetwork
ENSG00000005882	PDK2 PPI subnetwork
ENSG00000005884	ITGA3 PPI subnetwork
ENSG00000005961	ITGA2B PPI subnetwork
ENSG00000006062	MAP3K14 PPI subnetwork
ENSG00000006075	CCL3 PPI subnetwork
ENSG00000006125	AP2B1 PPI subnetwork
ENSG00000006451	RALA PPI subnetwork
ENSG00000006468	ETV1 PPI subnetwork
ENSG00000006634	DBF4 PPI subnetwork
ENSG00000006638	TBXA2R PPI subnetwork
ENSG00000006712	PAF1 PPI subnetwork
ENSG00000006715	VPS41 PPI subnetwork
ENSG00000006740	ARHGAP44 PPI subnetwork
ENSG00000006744	ELAC2 PPI subnetwork
ENSG00000006747	SCIN PPI subnetwork
ENSG00000007047	MARK4 PPI subnetwork
ENSG00000007168	PAFAH1B1 PPI subnetwork
ENSG00000007171	NOS2 PPI subnetwork
ENSG00000007174	DNAH9 PPI subnetwork
ENSG00000007237	GAS7 PPI subnetwork
ENSG00000007264	MATK PPI subnetwork
ENSG00000007312	CD79B PPI subnetwork
ENSG00000007372	PAX6 PPI subnetwork
ENSG00000007392	LUC7L PPI subnetwork
ENSG00000007402	CACNA2D2 PPI subnetwork
ENSG00000007816	ENSG00000007816 PPI subnetwork
ENSG00000007866	TEAD3 PPI subnetwork
ENSG00000007908	SELE PPI subnetwork
ENSG00000007968	E2F2 PPI subnetwork
ENSG00000008018	PSMB1 PPI subnetwork
ENSG00000008056	SYN1 PPI subnetwork
ENSG00000008083	JARID2 PPI subnetwork
ENSG00000008128	CDK11A PPI subnetwork
ENSG00000008130	NADK PPI subnetwork
ENSG00000008196	TFAP2B PPI subnetwork
ENSG00000008277	ADAM22 PPI subnetwork
ENSG00000008294	SPAG9 PPI subnetwork
ENSG00000008300	CELSR3 PPI subnetwork
ENSG00000008311	AASS PPI subnetwork
ENSG00000008405	CRY1 PPI subnetwork
ENSG00000008710	PKD1 PPI subnetwork
ENSG00000008735	MAPK8IP2 PPI subnetwork
ENSG00000008838	MED24 PPI subnetwork
ENSG00000008853	RHOBTB2 PPI subnetwork
ENSG00000008869	HEATR5B PPI subnetwork
ENSG00000008952	SEC62 PPI subnetwork
ENSG00000008988	RPS20 PPI subnetwork
ENSG00000009307	CSDE1 PPI subnetwork
ENSG00000009335	UBE3C PPI subnetwork
ENSG00000009413	REV3L PPI subnetwork
ENSG00000009790	TRAF3IP3 PPI subnetwork
ENSG00000009830	POMT2 PPI subnetwork
ENSG00000009844	VTA1 PPI subnetwork
ENSG00000009954	BAZ1B PPI subnetwork
ENSG00000010017	RANBP9 PPI subnetwork
ENSG00000010030	ETV7 PPI subnetwork
ENSG00000010244	ZNF207 PPI subnetwork
ENSG00000010256	UQCRC1 PPI subnetwork
ENSG00000010278	CD9 PPI subnetwork
ENSG00000010438	PRSS3 PPI subnetwork
ENSG00000010610	CD4 PPI subnetwork
ENSG00000010671	BTK PPI subnetwork
ENSG00000010803	SCMH1 PPI subnetwork
ENSG00000010810	FYN PPI subnetwork
ENSG00000010818	HIVEP2 PPI subnetwork
ENSG00000011007	TCEB3 PPI subnetwork
ENSG00000011052	NME2 PPI subnetwork
ENSG00000011243	AKAP8L PPI subnetwork
ENSG00000011260	UTP18 PPI subnetwork
ENSG00000011275	RNF216 PPI subnetwork
ENSG00000011304	PTBP1 PPI subnetwork
ENSG00000011405	PIK3C2A PPI subnetwork
ENSG00000011422	PLAUR PPI subnetwork
ENSG00000011451	WIZ PPI subnetwork
ENSG00000011465	DCN PPI subnetwork
ENSG00000011485	PPP5C PPI subnetwork
ENSG00000011600	TYROBP PPI subnetwork
ENSG00000012048	BRCA1 PPI subnetwork
ENSG00000012061	ERCC1 PPI subnetwork
ENSG00000012124	CD22 PPI subnetwork
ENSG00000012211	PRICKLE3 PPI subnetwork
ENSG00000012223	LTF PPI subnetwork
ENSG00000012660	ELOVL5 PPI subnetwork
ENSG00000012963	UBR7 PPI subnetwork
ENSG00000012983	MAP4K5 PPI subnetwork
ENSG00000013275	PSMC4 PPI subnetwork
ENSG00000013293	SLC7A14 PPI subnetwork
ENSG00000013297	CLDN11 PPI subnetwork
ENSG00000013364	MVP PPI subnetwork
ENSG00000013374	NUB1 PPI subnetwork
ENSG00000013375	PGM3 PPI subnetwork
ENSG00000013441	CLK1 PPI subnetwork
ENSG00000013455	ENSG00000013455 PPI subnetwork
ENSG00000013503	POLR3B PPI subnetwork
ENSG00000013561	RNF14 PPI subnetwork
ENSG00000013573	DDX11 PPI subnetwork
ENSG00000013583	HEBP1 PPI subnetwork
ENSG00000014138	POLA2 PPI subnetwork
ENSG00000014216	CAPN1 PPI subnetwork
ENSG00000014641	MDH1 PPI subnetwork
ENSG00000015153	YAF2 PPI subnetwork
ENSG00000015171	ZMYND11 PPI subnetwork
ENSG00000015285	WAS PPI subnetwork
ENSG00000015475	BID PPI subnetwork
ENSG00000015479	MATR3 PPI subnetwork
ENSG00000016082	ISL1 PPI subnetwork
ENSG00000016402	IL20RA PPI subnetwork
ENSG00000016490	CLCA1 PPI subnetwork
ENSG00000017260	ATP2C1 PPI subnetwork
ENSG00000017427	IGF1 PPI subnetwork
ENSG00000017797	RALBP1 PPI subnetwork
ENSG00000018236	CNTN1 PPI subnetwork
ENSG00000018408	WWTR1 PPI subnetwork
ENSG00000018699	TTC27 PPI subnetwork
ENSG00000019991	HGF PPI subnetwork
ENSG00000020426	MNAT1 PPI subnetwork
ENSG00000020577	SAMD4A PPI subnetwork
ENSG00000020633	RUNX3 PPI subnetwork
ENSG00000020922	MRE11A PPI subnetwork
ENSG00000021461	CYP3A43 PPI subnetwork
ENSG00000021488	SLC7A9 PPI subnetwork
ENSG00000021574	SPAST PPI subnetwork
ENSG00000022267	FHL1 PPI subnetwork
ENSG00000022355	GABRA1 PPI subnetwork
ENSG00000022840	RNF10 PPI subnetwork
ENSG00000023171	GRAMD1B PPI subnetwork
ENSG00000023191	RNH1 PPI subnetwork
ENSG00000023228	NDUFS1 PPI subnetwork
ENSG00000023287	RB1CC1 PPI subnetwork
ENSG00000023318	ERP44 PPI subnetwork
ENSG00000023445	BIRC3 PPI subnetwork
ENSG00000023608	SNAPC1 PPI subnetwork
ENSG00000023734	STRAP PPI subnetwork
ENSG00000024048	UBR2 PPI subnetwork
ENSG00000024422	EHD2 PPI subnetwork
